#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
10,Thu Oct 31 11:46:25 EDT 2019,12,6,Assignment4Suite,EmptyTest0 FindMinMaxTest0+ SizeTest0 SizeTest3+ , ,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
11,Fri Nov 01 10:25:25 EDT 2019,12,0,Assignment4Suite,EmptyTest0 FindMinMaxTest0 SizeTest0 SizeTest3 , ,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
12,Fri Nov 01 10:38:55 EDT 2019,16,4,Assignment4Suite,EmptyTest0 FindMinMaxTest0 InsertAfterRemoveTest0+ SizeTest0 SizeTest3 , ,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
13,Fri Nov 01 15:33:59 EDT 2019,32,16,Assignment4Suite,ContainsTest2+ EmptyTest0 EmptyTest2+ FindMinMaxTest0 InsertAfterRemoveTest0 RemoveTest0+ SizeTest0 SizeTest1+ SizeTest2+ SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
14,Fri Nov 01 15:55:20 EDT 2019,32,0,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 InsertAfterRemoveTest0 RemoveTest0 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
15,Fri Nov 01 15:58:00 EDT 2019,32,0,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 InsertAfterRemoveTest0 RemoveTest0 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
16,Fri Nov 01 16:08:36 EDT 2019,51,19,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 HeightTest+ InsertAfterRemoveTest0 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ RemoveTest0 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
17,Fri Nov 01 16:16:14 EDT 2019,51,0,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest2 InsertTest5 RemoveTest0- RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
18,Fri Nov 01 16:17:41 EDT 2019,51,0,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
19,Fri Nov 01 16:23:52 EDT 2019,38,-13,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2- FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2- , ,
20,Fri Nov 01 16:43:55 EDT 2019,54,16,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest5+ RemoveTest6+ SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
21,Fri Nov 01 16:57:57 EDT 2019,58,4,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1+ HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
22,Fri Nov 01 17:06:04 EDT 2019,58,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
23,Sat Nov 02 13:03:28 EDT 2019,58,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
24,Sat Nov 02 16:07:13 EDT 2019,58,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
25,Sun Nov 03 11:25:42 EST 2019,58,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
26,Sun Nov 03 11:27:52 EST 2019,58,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
27,Sun Nov 03 11:49:56 EST 2019,58,0,Assignment4Suite,ContainsTest0+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2- EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
28,Sun Nov 03 12:08:32 EST 2019,58,0,Assignment4Suite,ContainsTest0 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
29,Sun Nov 03 12:12:42 EST 2019,58,0,Assignment4Suite,ContainsTest2+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0- ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
30,Sun Nov 03 12:13:14 EST 2019,58,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
31,Sun Nov 03 12:13:47 EST 2019,58,0,Assignment4Suite,ContainsTest0+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2- EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
32,Sun Nov 03 12:14:16 EST 2019,58,0,Assignment4Suite,ContainsTest2+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0- ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
33,Sun Nov 03 12:19:34 EST 2019,58,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
34,Sun Nov 03 12:24:33 EST 2019,58,0,Assignment4Suite,ContainsTest0+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2- EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
35,Sun Nov 03 18:52:30 EST 2019,58,0,Assignment4Suite,ContainsTest0 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
36,Sun Nov 03 18:53:41 EST 2019,58,0,Assignment4Suite,ContainsTest2+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0- ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
37,Sun Nov 03 18:54:47 EST 2019,58,0,Assignment4Suite,ContainsTest0+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2- EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
38,Mon Nov 04 09:42:00 EST 2019,58,0,Assignment4Suite,ContainsTest0 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
39,Mon Nov 04 09:46:46 EST 2019,58,0,Assignment4Suite,ContainsTest0 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 ContainsTest2 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
40,Mon Nov 04 12:09:47 EST 2019,64,6,Assignment4Suite,ContainsTest0 ContainsTest1+ ContainsTest2+ EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
41,Mon Nov 04 12:10:38 EST 2019,64,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
42,Mon Nov 04 12:27:56 EST 2019,64,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest7 SizeTest2 , ,
43,Mon Nov 04 13:02:37 EST 2019,51,-13,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest5+ RemoveTest2 RemoveTest5 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest3- InsertTest4- RemoveTest0 RemoveTest1 RemoveTest3- RemoveTest4- RemoveTest6- RemoveTest7 SizeTest2 , ,
44,Mon Nov 04 13:03:05 EST 2019,48,-3,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 RemoveTest2 RemoveTest5 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest3 InsertTest4 InsertTest5- RemoveTest0 RemoveTest1 RemoveTest3 RemoveTest4 RemoveTest6 RemoveTest7 SizeTest2 , ,
